"","Plot","sensor","year","doy","cfmask","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band6","sr_band7"
"61",21,"LC8","2013","148",0,1026,1236,1818,2507,3214,4053,3697
"62",17,"LC8","2013","148",0,1029,1249,1814,2512,3201,4051,3735
"63",18,"LC8","2013","148",0,1017,1225,1779,2483,3192,4054,3748
"64",19,"LC8","2013","148",0,1039,1258,1818,2538,3256,4111,3776
"65",12,"LC8","2013","148",0,1000,1208,1771,2439,3135,4110,3771
"66",24,"LC8","2013","148",0,979,1190,1731,2386,3088,4048,3713
"67",9,"LC8","2013","164",0,906,1121,1619,2228,2946,3978,3536
"68",9,"LC8","2013","164",0,1024,1256,1820,2521,3243,4141,3747
"69",8,"LC8","2013","164",0,913,1137,1640,2247,2965,3975,3523
"70",8,"LC8","2013","164",0,996,1233,1779,2455,3179,4056,3669
"71",6,"LC8","2013","164",0,1028,1267,1824,2532,3271,4143,3768
"72",5,"LC8","2013","164",0,1000,1227,1801,2465,3202,4118,3692
"73",5,"LC8","2013","164",0,998,1224,1785,2454,3174,4166,3748
"74",5,"LC8","2013","164",0,1033,1272,1838,2545,3271,4177,3779
"75",4,"LC8","2013","164",0,1047,1296,1873,2575,3282,4215,3813
"76",3,"LC8","2013","164",0,1031,1274,1848,2541,3283,4165,3763
"77",3,"LC8","2013","164",0,985,1215,1761,2426,3139,4036,3633
"78",7,"LC8","2013","164",0,992,1220,1757,2443,3185,4070,3690
"79",7,"LC8","2013","164",0,998,1230,1778,2459,3184,4085,3681
"80",2,"LC8","2013","164",0,937,1164,1667,2310,3046,3950,3511
"81",1,"LC8","2013","164",0,937,1155,1682,2306,3050,4003,3574
"82",1,"LC8","2013","164",0,975,1211,1741,2402,3150,4035,3621
"83",16,"LC8","2013","164",0,1031,1258,1824,2539,3298,4180,3768
"84",11,"LC8","2013","164",0,996,1205,1773,2451,3175,4122,3744
"85",10,"LC8","2013","164",0,1072,1311,1884,2638,3368,4240,3840
"86",14,"LC8","2013","164",0,999,1229,1776,2456,3164,4077,3691
"87",13,"LC8","2013","164",0,1026,1255,1833,2523,3249,4120,3736
"88",15,"LC8","2013","164",0,1011,1240,1796,2487,3235,4148,3735
"89",15,"LC8","2013","164",0,1034,1256,1828,2544,3277,4128,3760
"90",20,"LC8","2013","164",0,992,1208,1752,2444,3189,4086,3681
"91",23,"LC8","2013","164",0,974,1192,1736,2394,3122,4096,3672
"92",22,"LC8","2013","164",0,1011,1232,1788,2491,3212,4073,3662
"93",21,"LC8","2013","164",0,1002,1223,1789,2466,3204,4103,3672
"94",21,"LC8","2013","164",0,1038,1262,1847,2555,3289,4166,3731
"95",17,"LC8","2013","164",0,1036,1263,1842,2548,3266,4196,3800
"96",18,"LC8","2013","164",0,1023,1240,1812,2515,3223,4120,3756
"97",19,"LC8","2013","164",0,1036,1271,1838,2553,3291,4156,3748
"98",12,"LC8","2013","164",0,953,1164,1708,2346,3080,4081,3659
"99",24,"LC8","2013","164",0,960,1176,1718,2363,3099,4090,3666
"100",9,"LC8","2013","180",2,989,1212,1735,2424,3421,4754,4153
"101",9,"LC8","2013","180",2,1090,1322,1913,2671,3665,4874,4345
"102",8,"LC8","2013","180",2,1028,1238,1808,2522,3553,4821,4224
"103",8,"LC8","2013","180",2,1094,1326,1915,2683,3716,4917,4365
"104",6,"LC8","2013","180",2,1077,1319,1888,2640,3666,4892,4383
"105",5,"LC8","2013","180",2,1101,1340,1931,2701,3713,4940,4363
"106",5,"LC8","2013","180",2,1138,1376,1996,2789,3824,5049,4507
"107",5,"LC8","2013","180",2,1139,1391,2006,2794,3850,5087,4528
"108",4,"LC8","2013","180",2,1162,1415,2037,2845,3876,5140,4596
"109",3,"LC8","2013","180",2,1127,1363,1968,2764,3829,5022,4457
"110",3,"LC8","2013","180",2,1054,1291,1850,2589,3659,4809,4240
"111",7,"LC8","2013","180",2,1071,1303,1864,2621,3686,4936,4410
"112",7,"LC8","2013","180",2,1088,1316,1896,2664,3730,4936,4418
"113",2,"LC8","2013","180",2,1001,1233,1760,2461,3535,4735,4143
"114",1,"LC8","2013","180",2,1043,1266,1821,2560,3613,4795,4237
"115",1,"LC8","2013","180",2,1050,1278,1846,2579,3648,4782,4220
"116",16,"LC8","2013","180",2,1093,1324,1905,2678,3781,5023,4453
"117",11,"LC8","2013","180",2,1117,1340,1961,2739,3763,4946,4429
"118",10,"LC8","2013","180",2,1189,1409,2063,2911,3916,5151,4636
"119",14,"LC8","2013","180",2,948,1179,1668,2335,3163,4116,3618
"120",13,"LC8","2013","180",2,1127,1366,1959,2764,3810,4923,4403
"121",15,"LC8","2013","180",2,950,1175,1679,2336,3203,4149,3685
"122",15,"LC8","2013","180",2,966,1174,1693,2377,3215,4131,3680
"123",20,"LC8","2013","180",2,1070,1292,1866,2624,3667,4901,4326
"124",23,"LC8","2013","180",2,1096,1313,1915,2693,3735,4906,4324
"125",22,"LC8","2013","180",2,1123,1340,1954,2756,3738,4901,4328
"126",21,"LC8","2013","180",2,1095,1325,1908,2690,3740,4897,4289
"127",21,"LC8","2013","180",2,1121,1361,1948,2753,3797,4988,4389
"128",17,"LC8","2013","180",2,1161,1400,2020,2846,3881,5081,4525
"129",18,"LC8","2013","180",2,1104,1346,1908,2709,3739,4903,4337
"130",19,"LC8","2013","180",2,1135,1364,1967,2786,3837,5007,4431
"131",12,"LC8","2013","180",2,1072,1279,1881,2630,3649,4894,4318
"132",24,"LC8","2013","180",2,1000,1215,1750,2455,3396,4536,4056
"133",9,"LC8","2013","196",0,827,1021,1544,2052,3093,3755,3161
"134",9,"LC8","2013","196",0,970,1190,1760,2397,3277,3967,3446
"135",8,"LC8","2013","196",0,818,1027,1550,2035,3173,3747,3131
"136",8,"LC8","2013","196",0,945,1172,1729,2338,3244,3904,3363
"137",6,"LC8","2013","196",0,968,1202,1772,2394,3275,3955,3428
"138",5,"LC8","2013","196",0,915,1127,1709,2264,3218,3915,3364
"139",5,"LC8","2013","196",0,932,1149,1721,2306,3284,3961,3411
"140",5,"LC8","2013","196",0,977,1215,1775,2414,3326,4017,3480
"141",4,"LC8","2013","196",0,1011,1250,1829,2496,3330,4040,3519
"142",3,"LC8","2013","196",0,930,1158,1729,2311,3371,3888,3328
"143",3,"LC8","2013","196",0,890,1102,1640,2215,3250,3727,3156
"144",7,"LC8","2013","196",0,929,1142,1700,2297,3232,3936,3372
"145",7,"LC8","2013","196",0,935,1155,1717,2314,3256,3932,3366
"146",2,"LC8","2013","196",0,829,1041,1562,2066,3190,3689,3076
"147",1,"LC8","2013","196",0,831,1030,1582,2066,3207,3773,3159
"148",1,"LC8","2013","196",0,887,1112,1639,2201,3255,3801,3227
"149",16,"LC8","2013","196",0,935,1147,1706,2321,3371,3903,3325
"150",11,"LC8","2013","196",0,925,1125,1702,2288,3217,3905,3382
"151",10,"LC8","2013","196",0,988,1222,1801,2448,3412,4019,3468
"152",14,"LC8","2013","196",0,943,1157,1724,2330,3220,3943,3411
"153",13,"LC8","2013","196",0,960,1169,1756,2373,3272,3918,3398
"154",15,"LC8","2013","196",0,949,1167,1731,2344,3274,3981,3462
"155",15,"LC8","2013","196",0,989,1209,1789,2439,3255,3994,3486
"156",20,"LC8","2013","196",0,887,1096,1631,2203,3248,3823,3241
"157",23,"LC8","2013","196",0,872,1064,1630,2169,3274,3809,3232
"158",22,"LC8","2013","196",0,945,1160,1704,2340,3239,3878,3328
"159",21,"LC8","2013","196",0,901,1089,1676,2233,3268,3868,3283
"160",21,"LC8","2013","196",0,938,1140,1725,2325,3300,3912,3349
"161",17,"LC8","2013","196",0,981,1200,1779,2424,3292,4020,3493
"162",18,"LC8","2013","196",0,946,1145,1717,2337,3182,3893,3380
"163",19,"LC8","2013","196",0,951,1167,1731,2359,3329,3916,3358
"164",12,"LC8","2013","196",0,858,1053,1629,2129,3219,3880,3286
"165",24,"LC8","2013","196",0,884,1081,1643,2187,3146,3889,3334
"166",9,"LC8","2013","212",4,3908,3987,4114,4321,5205,4574,4038
"167",9,"LC8","2013","212",4,3806,3920,4058,4258,5166,4585,4025
"168",8,"LC8","2013","212",4,3646,3727,3864,4056,4958,4311,3845
"169",8,"LC8","2013","212",4,3562,3665,3750,3964,4894,4299,3793
"170",6,"LC8","2013","212",4,3972,4070,4219,4419,5276,4685,4170
"171",5,"LC8","2013","212",4,3727,3828,3952,4182,5098,4477,3934
"172",5,"LC8","2013","212",4,3777,3874,4022,4224,5103,4526,4016
"173",5,"LC8","2013","212",4,3803,3889,4048,4237,5102,4516,4068
"174",4,"LC8","2013","212",4,3868,3956,4083,4270,5121,4495,3976
"175",3,"LC8","2013","212",4,3780,3856,4042,4224,5065,4467,3917
"176",3,"LC8","2013","212",4,3694,3774,3958,4130,4983,4383,3844
"177",7,"LC8","2013","212",4,3577,3635,3839,4015,4897,4322,3794
"178",7,"LC8","2013","212",4,3451,3535,3746,3914,4818,4303,3767
"179",2,"LC8","2013","212",4,3633,3713,3826,4014,4898,4273,3777
"180",1,"LC8","2013","212",4,3589,3650,3795,3978,4860,4239,3734
"181",1,"LC8","2013","212",4,3606,3690,3794,3981,4855,4237,3726
"182",16,"LC8","2013","212",4,3964,4051,4282,4472,5360,4776,4176
"183",11,"LC8","2013","212",4,3811,3878,4159,4331,5223,4717,4095
"184",10,"LC8","2013","212",4,3754,3843,4054,4236,5136,4571,4028
"185",14,"LC8","2013","212",4,3695,3750,3988,4165,5038,4540,3975
"186",13,"LC8","2013","212",4,3660,3710,3985,4129,4956,4424,3906
"187",15,"LC8","2013","212",4,3743,3821,4073,4252,5147,4627,4043
"188",15,"LC8","2013","212",4,3817,3896,4110,4309,5199,4621,4034
"189",20,"LC8","2013","212",4,3853,3968,4088,4303,5211,4637,4019
