"","Plot","sensor","year","doy","cfmask","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band6","sr_band7"
"10929",5,"LT5","1990","085",4,16000,3794,3964,4387,2776,-1,2336
"10930",5,"LT5","1990","085",4,16000,3828,3995,4387,2776,-1,2376
"10931",5,"LT5","1990","085",4,16000,3828,3995,4425,2750,-1,2336
"10932",4,"LT5","1990","085",4,16000,3794,3933,4347,2699,-1,2336
"10933",3,"LT5","1990","085",4,16000,3794,3901,4347,2750,-1,2336
"10934",3,"LT5","1990","085",4,16000,3794,3901,4347,2776,-1,2297
"10935",7,"LT5","1990","085",4,16000,3725,3840,4271,2776,-1,2336
"10936",7,"LT5","1990","085",4,16000,3725,3840,4271,2750,-1,2297
"10937",2,"LT5","1990","085",4,16000,3760,3933,4309,2776,-1,2297
"10938",1,"LT5","1990","085",4,16000,3760,3871,4309,2776,-1,2415
"10939",1,"LT5","1990","085",4,16000,3760,3933,4309,2776,-1,2336
"10940",16,"LT5","1990","085",4,16000,3725,3933,4309,2776,-1,2376
"10941",11,"LT5","1990","085",4,16000,3759,3901,4347,2725,-1,2376
"10942",10,"LT5","1990","085",4,16000,3759,3901,4309,2776,-1,2297
"10943",14,"LT5","1990","085",4,3579,3794,3901,4271,2776,-1,2336
"10944",13,"LT5","1990","085",4,16000,3725,3871,4271,2776,-1,2376
"10945",15,"LT5","1990","085",4,16000,3794,3901,4309,2776,-1,2336
"10946",15,"LT5","1990","085",4,16000,3760,3901,4309,2776,-1,2336
"10947",20,"LT5","1990","085",4,16000,3759,3933,4309,2725,-1,2336
"10948",23,"LT5","1990","085",4,16000,3794,3901,4387,2803,-1,2336
"10949",22,"LT5","1990","085",4,16000,3794,3901,4347,2725,-1,2297
"10950",21,"LT5","1990","085",4,16000,3759,3871,4309,2725,-1,2376
"10951",21,"LT5","1990","085",4,16000,3794,3871,4347,2776,-1,2297
"10952",17,"LT5","1990","085",4,16000,3794,3901,4347,2776,-1,2376
"10953",18,"LT5","1990","085",4,16000,3794,3964,4347,2776,-1,2297
"10954",19,"LT5","1990","085",4,16000,3794,3994,4387,2776,-1,2336
"10955",12,"LT5","1990","085",4,16000,3794,3933,4387,2776,-1,2336
"10956",24,"LT5","1990","085",4,16000,3828,3964,4425,2776,-1,2336
"10957",9,"LT5","1990","101",4,1634,1907,2238,2777,3090,-1,2616
"10958",9,"LT5","1990","101",4,1700,1976,2360,2926,3189,-1,2801
"10959",8,"LT5","1990","101",4,1634,1942,2238,2778,3115,-1,2578
"10960",8,"LT5","1990","101",4,1650,1976,2330,2852,3189,-1,2653
"10961",6,"LT5","1990","101",4,1633,1976,2329,2852,3213,-1,2727
"10962",5,"LT5","1990","101",4,1684,2010,2329,2890,3090,-1,2689
"10963",5,"LT5","1990","101",4,1700,2010,2329,2890,3090,-1,2653
"10964",5,"LT5","1990","101",4,1700,2010,2391,2963,3164,-1,2727
"10965",4,"LT5","1990","101",4,1667,2010,2391,2926,3164,-1,2689
"10966",3,"LT5","1990","101",4,1667,1976,2300,2852,3090,-1,2653
"10967",3,"LT5","1990","101",4,1650,1941,2238,2815,3065,-1,2578
"10968",7,"LT5","1990","101",0,1685,1977,2300,2890,3189,-1,2764
"10969",7,"LT5","1990","101",0,1600,1977,2300,2852,3139,-1,2689
"10970",2,"LT5","1990","101",0,1600,1872,2238,2815,3090,-1,2616
"10971",1,"LT5","1990","101",0,1635,1872,2269,2815,3139,-1,2764
"10972",1,"LT5","1990","101",0,1651,1942,2300,2815,3115,-1,2689
"10973",16,"LT5","1990","101",4,1650,1976,2360,2890,3115,-1,2653
"10974",11,"LT5","1990","101",4,1649,1941,2269,2852,3065,-1,2616
"10975",10,"LT5","1990","101",4,1634,1976,2269,2815,3090,-1,2616
"10976",14,"LT5","1990","101",0,1650,2010,2391,2963,3288,-1,2801
"10977",13,"LT5","1990","101",0,1567,1977,2360,2963,3164,-1,2801
"10978",15,"LT5","1990","101",0,1684,2010,2422,3000,3238,-1,2838
"10979",15,"LT5","1990","101",0,1667,2010,2391,2963,3214,-1,2801
"10980",20,"LT5","1990","101",0,1667,1941,2329,2890,3164,-1,2764
"10981",23,"LT5","1990","101",4,1684,2010,2329,2852,3139,-1,2653
"10982",22,"LT5","1990","101",0,1649,1941,2300,2815,3090,-1,2616
"10983",21,"LT5","1990","101",0,1634,1976,2238,2777,3090,-1,2653
"10984",21,"LT5","1990","101",0,1634,1976,2269,2777,3115,-1,2689
"10985",17,"LT5","1990","101",4,1684,2045,2391,2926,3164,-1,2689
"10986",18,"LT5","1990","101",4,1700,2010,2391,3000,3139,-1,2689
"10987",19,"LT5","1990","101",4,1684,2010,2329,2926,3139,-1,2727
"10988",12,"LT5","1990","101",4,1633,1906,2238,2741,3041,-1,2578
"10989",24,"LT5","1990","101",4,1666,2010,2300,2889,3090,-1,2653
"10990",9,"LT5","1990","117",0,1101,1493,1892,2454,3617,-1,3149
"10991",9,"LT5","1990","117",0,1164,1622,2122,2734,3827,-1,3430
"10992",8,"LT5","1990","117",0,1085,1493,1892,2454,3571,-1,3114
"10993",8,"LT5","1990","117",0,1164,1590,2008,2594,3687,-1,3219
"10994",6,"LT5","1990","117",0,1179,1590,2065,2664,3734,-1,3395
"10995",5,"LT5","1990","117",0,1179,1622,2036,2629,3641,-1,3149
"10996",5,"LT5","1990","117",0,1194,1655,2065,2664,3711,-1,3325
"10997",5,"LT5","1990","117",0,1210,1688,2122,2734,3781,-1,3360
"10998",4,"LT5","1990","117",0,1210,1688,2122,2698,3781,-1,3290
"10999",3,"LT5","1990","117",0,1179,1590,2008,2525,3617,-1,3290
"11000",3,"LT5","1990","117",0,1054,1493,1892,2420,3547,-1,3079
"11001",7,"LT5","1990","117",0,1133,1590,2008,2629,3664,-1,3290
"11002",7,"LT5","1990","117",0,1101,1590,2008,2594,3617,-1,3219
"11003",2,"LT5","1990","117",0,1101,1524,1892,2489,3617,-1,3220
"11004",1,"LT5","1990","117",0,1148,1558,1979,2559,3664,-1,3254
"11005",1,"LT5","1990","117",0,1133,1622,2036,2664,3664,-1,3360
"11006",16,"LT5","1990","117",0,1117,1557,2036,2559,3641,-1,3219
"11007",11,"LT5","1990","117",0,1133,1524,1949,2524,3641,-1,3184
"11008",10,"LT5","1990","117",0,1101,1557,1978,2559,3641,-1,3114
"11009",14,"LT5","1990","117",0,1148,1622,2151,2734,3781,-1,3394
"11010",13,"LT5","1990","117",0,1101,1590,2036,2698,3687,-1,3395
"11011",15,"LT5","1990","117",0,1148,1688,2151,2768,3757,-1,3430
"11012",15,"LT5","1990","117",0,1148,1622,2094,2698,3687,-1,3430
"11013",20,"LT5","1990","117",0,1117,1557,2008,2629,3664,-1,3325
"11014",23,"LT5","1990","117",0,1133,1590,2007,2593,3734,-1,3290
"11015",22,"LT5","1990","117",0,1117,1590,1949,2559,3570,-1,3254
"11016",21,"LT5","1990","117",0,1054,1460,1863,2349,3523,-1,3044
"11017",21,"LT5","1990","117",0,1085,1524,1892,2454,3546,-1,3114
"11018",17,"LT5","1990","117",0,1179,1655,2122,2698,3734,-1,3325
"11019",18,"LT5","1990","117",0,1148,1655,2180,2803,3734,-1,3465
"11020",19,"LT5","1990","117",0,1133,1655,2121,2768,3804,-1,3430
"11021",12,"LT5","1990","117",0,1070,1460,1806,2419,3594,-1,3114
"11022",24,"LT5","1990","117",0,1100,1557,2007,2629,3734,-1,3394
"11023",9,"LT5","1990","133",0,1063,1499,1856,2512,3577,-1,3155
"11024",9,"LT5","1990","133",0,1227,1686,2105,2681,3759,-1,3394
"11025",8,"LT5","1990","133",0,1063,1468,1885,2411,3555,-1,3088
"11026",8,"LT5","1990","133",0,1153,1593,1995,2580,3782,-1,3325
"11027",6,"LT5","1990","133",0,1152,1685,2077,2713,3759,-1,3461
"11028",5,"LT5","1990","133",0,1137,1623,2077,2646,3600,-1,3189
"11029",5,"LT5","1990","133",0,1167,1592,2077,2646,3736,-1,3324
"11030",5,"LT5","1990","133",0,1227,1685,2132,2781,3736,-1,3359
"11031",4,"LT5","1990","133",0,1183,1655,2104,2748,3782,-1,3462
"11032",3,"LT5","1990","133",0,1153,1592,2022,2545,3532,-1,3189
"11033",3,"LT5","1990","133",0,1094,1468,1912,2445,3418,-1,2917
"11034",7,"LT5","1990","133",0,1138,1593,2050,2681,3691,-1,3359
"11035",7,"LT5","1990","133",0,1168,1624,2050,2681,3600,-1,3291
"11036",2,"LT5","1990","133",0,1079,1499,1912,2512,3600,-1,3223
"11037",1,"LT5","1990","133",0,1109,1530,1967,2579,3668,-1,3291
"11038",1,"LT5","1990","133",0,1168,1562,1995,2613,3713,-1,3325
"11039",16,"LT5","1990","133",0,1093,1561,1967,2512,3623,-1,3189
"11040",11,"LT5","1990","133",0,1078,1561,1967,2545,3667,-1,3223
"11041",10,"LT5","1990","133",0,1078,1530,1912,2478,3668,-1,3291
"11042",14,"LT5","1990","133",0,1197,1655,2132,2748,3737,-1,3325
"11043",13,"LT5","1990","133",0,1109,1593,2022,2647,3668,-1,3325
"11044",15,"LT5","1990","133",0,1168,1686,2161,2781,3714,-1,3428
"11045",15,"LT5","1990","133",0,1153,1624,2105,2748,3714,-1,3360
"11046",20,"LT5","1990","133",0,1152,1592,2050,2647,3691,-1,3325
"11047",23,"LT5","1990","133",0,1122,1592,2049,2681,3645,-1,3223
"11048",22,"LT5","1990","133",0,1137,1561,1967,2545,3600,-1,3223
"11049",21,"LT5","1990","133",0,1078,1468,1856,2411,3486,-1,2985
"11050",21,"LT5","1990","133",0,1093,1530,1912,2478,3532,-1,3121
"11051",17,"LT5","1990","133",0,1182,1686,2161,2714,3736,-1,3325
"11052",18,"LT5","1990","133",0,1152,1623,2188,2781,3736,-1,3427
"11053",19,"LT5","1990","133",0,1137,1623,2132,2781,3713,-1,3394
"11054",12,"LT5","1990","133",0,1034,1437,1856,2410,3531,-1,3018
"11055",24,"LT5","1990","133",0,1093,1623,2022,2680,3623,-1,3359
"11056",9,"LT5","1990","149",0,1127,1578,1946,2533,3649,-1,3103
"11057",9,"LT5","1990","149",0,1214,1669,2191,2797,3805,-1,3437
"11058",8,"LT5","1990","149",0,1141,1547,1892,2500,3582,-1,3203
"11059",8,"LT5","1990","149",0,1185,1669,2056,2632,3738,-1,3404
"11060",6,"LT5","1990","149",0,1199,1639,2137,2764,3783,-1,3404
"11061",5,"LT5","1990","149",0,1184,1608,2056,2632,3672,-1,3237
"11062",5,"LT5","1990","149",0,1214,1669,2137,2731,3739,-1,3237
"11063",5,"LT5","1990","149",0,1214,1731,2219,2797,3783,-1,3371
"11064",4,"LT5","1990","149",0,1243,1762,2191,2830,3783,-1,3371
"11065",3,"LT5","1990","149",0,1199,1608,2083,2599,3605,-1,3203
"11066",3,"LT5","1990","149",0,1156,1516,1919,2433,3470,-1,3070
"11067",7,"LT5","1990","149",0,1141,1638,2137,2764,3693,-1,3337
"11068",7,"LT5","1990","149",0,1156,1608,2164,2731,3649,-1,3304
"11069",2,"LT5","1990","149",0,1112,1547,1974,2565,3626,-1,3170
"11070",1,"LT5","1990","149",0,1141,1578,2028,2632,3605,-1,3304
"11071",1,"LT5","1990","149",0,1185,1608,2056,2698,3693,-1,3404
"11072",16,"LT5","1990","149",0,1171,1608,2001,2565,3672,-1,3170
"11073",11,"LT5","1990","149",0,1127,1608,2001,2599,3649,-1,3271
"11074",10,"LT5","1990","149",0,1156,1578,2001,2533,3672,-1,3236
"11075",14,"LT5","1990","149",0,1214,1700,2164,2797,3760,-1,3371
"11076",13,"LT5","1990","149",0,1156,1608,2110,2731,3693,-1,3337
"11077",15,"LT5","1990","149",0,1171,1669,2191,2830,3738,-1,3437
"11078",15,"LT5","1990","149",0,1171,1669,2164,2764,3649,-1,3337
"11079",20,"LT5","1990","149",0,1127,1608,2083,2698,3649,-1,3337
"11080",23,"LT5","1990","149",0,1155,1638,2083,2731,3716,-1,3203
"11081",22,"LT5","1990","149",0,1171,1608,2028,2599,3605,-1,3236
"11082",21,"LT5","1990","149",0,1083,1516,1892,2466,3537,-1,3002
"11083",21,"LT5","1990","149",0,1141,1516,1974,2500,3626,-1,3070
"11084",17,"LT5","1990","149",0,1214,1700,2219,2764,3739,-1,3337
"11085",18,"LT5","1990","149",0,1156,1669,2191,2797,3760,-1,3404
"11086",19,"LT5","1990","149",0,1155,1731,2137,2797,3783,-1,3337
"11087",12,"LT5","1990","149",0,1127,1485,1864,2466,3582,-1,3103
"11088",24,"LT5","1990","149",0,1155,1669,2110,2731,3693,-1,3304
"11089",9,"LT5","1990","181",0,984,1355,1741,2415,3348,-1,2896
"11090",9,"LT5","1990","181",0,1015,1482,1855,2522,3465,-1,3002
"11091",8,"LT5","1990","181",0,1015,1355,1741,2415,3418,-1,2896
"11092",8,"LT5","1990","181",0,1030,1419,1799,2451,3418,-1,3038
"11093",6,"LT5","1990","181",0,984,1418,1854,2486,3417,-1,3001
"11094",5,"LT5","1990","181",0,1015,1418,1770,2450,3348,-1,2860
"11095",5,"LT5","1990","181",0,1029,1450,1882,2522,3394,-1,2895
"11096",5,"LT5","1990","181",0,1029,1418,1855,2450,3371,-1,2931
"11097",4,"LT5","1990","181",0,1029,1450,1883,2556,3465,-1,3002
"11098",3,"LT5","1990","181",0,1015,1418,1771,2415,3372,-1,2860
"11099",3,"LT5","1990","181",0,1000,1355,1685,2345,3325,-1,2860
"11100",7,"LT5","1990","181",0,1015,1419,1827,2523,3372,-1,3003
"11101",7,"LT5","1990","181",0,1015,1482,1855,2557,3418,-1,2968
"11102",2,"LT5","1990","181",0,969,1387,1771,2451,3348,-1,2896
"11103",1,"LT5","1990","181",0,1015,1387,1827,2416,3419,-1,3039
"11104",1,"LT5","1990","181",0,1030,1451,1883,2487,3466,-1,3075
"11105",16,"LT5","1990","181",0,1000,1387,1798,2414,3276,-1,2895
"11106",11,"LT5","1990","181",0,953,1386,1741,2380,3300,-1,2859
"11107",10,"LT5","1990","181",0,969,1355,1798,2415,3536,-1,2825
"11108",14,"LT5","1990","181",0,1000,1419,1855,2486,3324,-1,2896
"11109",13,"LT5","1990","181",0,954,1355,1771,2451,3348,-1,2896
"11110",15,"LT5","1990","181",0,1000,1482,1912,2556,3441,-1,3144
"11111",15,"LT5","1990","181",0,1030,1450,1912,2840,3394,-1,3037
"11112",20,"LT5","1990","181",0,969,1387,1798,2450,3323,-1,2825
"11113",23,"LT5","1990","181",0,1000,1386,1826,2485,3347,-1,2788
"11114",22,"LT5","1990","181",0,984,1418,1854,2449,3370,-1,2824
"11115",21,"LT5","1990","181",0,1000,1386,1713,2344,3323,-1,2789
"11116",21,"LT5","1990","181",0,1000,1386,1770,2379,3347,-1,2718
"11117",17,"LT5","1990","181",0,1045,1450,1882,2486,3371,-1,2859
"11118",18,"LT5","1990","181",0,1000,1418,1882,2521,3370,-1,3037
"11119",19,"LT5","1990","181",0,1015,1450,1854,2521,3370,-1,2966
"11120",12,"LT5","1990","181",0,938,1290,1627,2308,3300,-1,2753
"11121",24,"LT5","1990","181",0,984,1386,1826,2485,3393,-1,2966
"11122",9,"LT5","1990","245",0,1014,1356,1600,2649,3112,-1,2470
"11123",9,"LT5","1990","245",0,1099,1497,1850,2882,3396,-1,2741
"11124",8,"LT5","1990","245",0,826,1179,1413,2494,3009,-1,2353
"11125",8,"LT5","1990","245",0,861,1250,1569,2611,3164,-1,2547
"11126",6,"LT5","1990","245",0,911,1285,1663,2649,3215,-1,2702
"11127",5,"LT5","1990","245",0,861,1214,1507,2454,3087,-1,2430
"11128",5,"LT5","1990","245",0,928,1320,1694,2649,3216,-1,2547
"11129",5,"LT5","1990","245",0,895,1320,1632,2649,3216,-1,2624
"11130",4,"LT5","1990","245",0,928,1320,1663,2649,3241,-1,2586
"11131",3,"LT5","1990","245",0,860,1250,1538,2533,3061,-1,2430
"11132",3,"LT5","1990","245",0,792,1144,1381,2377,2932,-1,2236
"11133",7,"LT5","1990","245",0,928,1285,1600,2767,3112,-1,2548
"11134",7,"LT5","1990","245",0,895,1285,1569,2728,3087,-1,2470
"11135",2,"LT5","1990","245",0,843,1179,1444,2611,2906,-1,2276
"11136",1,"LT5","1990","245",0,843,1179,1538,2611,3088,-1,2431
"11137",1,"LT5","1990","245",0,877,1250,1538,2612,3165,-1,2471
"11138",16,"LT5","1990","245",0,827,1214,1538,2532,3060,-1,2547
"11139",11,"LT5","1990","245",0,997,1320,1632,2687,3189,-1,2585
"11140",10,"LT5","1990","245",0,980,1356,1663,2649,3267,-1,2508
"11141",14,"LT5","1990","245",0,1132,1497,1850,2882,3344,-1,2741
"11142",13,"LT5","1990","245",0,945,1320,1632,2804,3164,-1,2547
"11143",15,"LT5","1990","245",0,1014,1462,1787,2804,3370,-1,2897
"11144",15,"LT5","1990","245",0,1115,1568,1850,2882,3318,-1,2818
"11145",20,"LT5","1990","245",0,896,1285,1599,2687,3111,-1,2469
"11146",23,"LT5","1990","245",0,862,1250,1568,2686,3008,-1,2507
"11147",22,"LT5","1990","245",0,896,1250,1631,2569,3137,-1,2584
"11148",21,"LT5","1990","245",0,810,1144,1412,2376,3033,-1,2352
"11149",21,"LT5","1990","245",0,845,1179,1506,2493,3086,-1,2469
"11150",17,"LT5","1990","245",0,912,1285,1662,2610,3215,-1,2624
"11151",18,"LT5","1990","245",0,946,1320,1725,2765,3292,-1,2857
"11152",19,"LT5","1990","245",0,980,1320,1693,2764,3188,-1,2702
"11153",12,"LT5","1990","245",0,810,1179,1412,2415,3086,-1,2508
"11154",24,"LT5","1990","245",0,895,1285,1631,2648,3240,-1,2741
"11155",9,"LT5","1990","277",0,662,887,1135,1701,2544,-1,2054
"11156",9,"LT5","1990","277",0,791,1116,1403,1988,2792,-1,2508
"11157",8,"LT5","1990","277",0,680,887,1101,1661,2435,-1,1971
"11158",8,"LT5","1990","277",0,699,1001,1236,1783,2601,-1,2178
"11159",6,"LT5","1990","277",0,864,1192,1471,2109,2928,-1,2549
"11160",5,"LT5","1990","277",0,829,1229,1438,2069,2764,-1,2342
"11161",5,"LT5","1990","277",0,829,1116,1403,1946,2928,-1,2466
"11162",5,"LT5","1990","277",0,846,1153,1471,1987,2900,-1,2507
"11163",4,"LT5","1990","277",0,828,1153,1471,1987,2901,-1,2549
"11164",3,"LT5","1990","277",0,754,1040,1270,1824,2571,-1,2094
"11165",3,"LT5","1990","277",0,663,925,1068,1701,2435,-1,2054
"11166",7,"LT5","1990","277",0,790,1116,1370,2152,2765,-1,2425
"11167",7,"LT5","1990","277",0,736,1077,1303,2193,2737,-1,2343
"11168",2,"LT5","1990","277",0,680,963,1168,1783,2600,-1,2094
"11169",1,"LT5","1990","277",0,754,1077,1303,1906,2765,-1,2384
"11170",1,"LT5","1990","277",0,809,1077,1370,1865,2765,-1,2301
"11171",16,"LT5","1990","277",0,717,1040,1303,1906,2655,-1,2219
"11172",11,"LT5","1990","277",0,718,1077,1303,1906,2764,-1,2384
"11173",10,"LT5","1990","277",0,717,1001,1236,1742,2572,-1,2219
"11174",14,"LT5","1990","277",0,827,1192,1472,2152,2902,-1,2467
"11175",13,"LT5","1990","277",0,753,1077,1236,1947,2683,-1,2260
"11176",15,"LT5","1990","277",0,863,1268,1606,2233,2956,-1,2632
"11177",15,"LT5","1990","277",0,845,1229,1538,2193,2929,-1,2632
"11178",20,"LT5","1990","277",0,716,1039,1303,1947,2683,-1,2343
"11179",23,"LT5","1990","277",0,699,963,1270,1865,2628,-1,2260
"11180",22,"LT5","1990","277",0,717,1001,1236,1742,2572,-1,2219
"11181",21,"LT5","1990","277",0,717,963,1168,1662,2463,-1,2136
"11182",21,"LT5","1990","277",0,699,1001,1168,1702,2601,-1,2219
"11183",17,"LT5","1990","277",0,754,1153,1403,1947,2792,-1,2425
"11184",18,"LT5","1990","277",0,863,1268,1606,2274,2901,-1,2466
"11185",19,"LT5","1990","277",0,791,1153,1471,2069,2846,-1,2466
"11186",12,"LT5","1990","277",0,681,964,1168,1783,2682,-1,2218
"11187",24,"LT5","1990","277",0,773,1077,1336,2028,2846,-1,2466
"11188",9,"LT5","1990","293",0,817,1066,1316,1932,2901,-1,2450
"11189",9,"LT5","1990","293",0,898,1192,1536,2154,3079,-1,2718
"11190",8,"LT5","1990","293",0,798,1066,1353,1888,2812,-1,2359
"11191",8,"LT5","1990","293",0,838,1150,1462,2065,2960,-1,2584
"11192",6,"LT5","1990","293",0,937,1275,1536,2243,3049,-1,2673
"11193",5,"LT5","1990","293",0,877,1192,1536,2154,2901,-1,2539
"11194",5,"LT5","1990","293",0,877,1192,1536,2154,3019,-1,2718
"11195",5,"LT5","1990","293",0,877,1233,1609,2154,3079,-1,2673
"11196",4,"LT5","1990","293",0,898,1275,1572,2110,3049,-1,2809
"11197",3,"LT5","1990","293",0,918,1233,1462,2065,2871,-1,2494
"11198",3,"LT5","1990","293",0,798,1109,1316,2020,2722,-1,2270
"11199",7,"LT5","1990","293",0,859,1192,1462,2287,2960,-1,2494
"11200",7,"LT5","1990","293",0,838,1192,1462,2331,2901,-1,2405
"11201",2,"LT5","1990","293",0,757,1066,1278,1976,2722,-1,2315
"11202",1,"LT5","1990","293",0,859,1192,1426,2110,2930,-1,2494
"11203",1,"LT5","1990","293",0,859,1192,1499,2154,3019,-1,2629
"11204",16,"LT5","1990","293",0,858,1150,1462,2020,2960,-1,2584
"11205",11,"LT5","1990","293",0,837,1150,1389,2110,2901,-1,2629
"11206",10,"LT5","1990","293",0,756,1150,1426,1932,2989,-1,2539
"11207",14,"LT5","1990","293",0,878,1234,1609,2375,3019,-1,2673
"11208",13,"LT5","1990","293",0,838,1192,1499,2243,2930,-1,2539
"11209",15,"LT5","1990","293",0,938,1316,1646,2419,3109,-1,2718
"11210",15,"LT5","1990","293",0,919,1275,1682,2331,3048,-1,2673
"11211",20,"LT5","1990","293",0,817,1150,1462,2198,2930,-1,2494
"11212",23,"LT5","1990","293",0,837,1150,1389,2154,2930,-1,2450
"11213",22,"LT5","1990","293",0,837,1150,1389,1976,2841,-1,2584
"11214",21,"LT5","1990","293",0,817,1108,1353,1887,2812,-1,2450
"11215",21,"LT5","1990","293",0,817,1109,1353,1932,2841,-1,2450
"11216",17,"LT5","1990","293",0,837,1275,1499,2154,2960,-1,2584
"11217",18,"LT5","1990","293",0,897,1316,1646,2419,2930,-1,2629
"11218",19,"LT5","1990","293",0,837,1233,1572,2287,2989,-1,2629
"11219",12,"LT5","1990","293",0,797,1066,1315,1932,2871,-1,2494
"11220",24,"LT5","1990","293",0,837,1191,1499,2243,3019,-1,2763
"11221",9,"LT5","1991","088",0,907,1119,1347,1899,2969,-1,2614
"11222",9,"LT5","1991","088",0,925,1228,1506,2125,3121,-1,2842
"11223",8,"LT5","1991","088",0,890,1119,1347,1974,2995,-1,2577
"11224",8,"LT5","1991","088",0,941,1228,1411,2087,3096,-1,2728
"11225",6,"LT5","1991","088",0,942,1265,1506,2087,3096,-1,2805
"11226",5,"LT5","1991","088",0,873,1156,1411,2011,2995,-1,2614
"11227",5,"LT5","1991","088",0,925,1228,1443,2087,3070,-1,2691
"11228",5,"LT5","1991","088",0,941,1228,1506,2087,3046,-1,2691
"11229",4,"LT5","1991","088",0,976,1265,1539,2163,3121,-1,2805
"11230",3,"LT5","1991","088",0,925,1228,1443,1899,3020,-1,2614
"11231",3,"LT5","1991","088",0,890,1083,1347,1785,2869,-1,2500
"11232",7,"LT5","1991","088",0,907,1228,1443,2087,3046,-1,2653
"11233",7,"LT5","1991","088",0,907,1228,1443,2087,2995,-1,2691
"11234",2,"LT5","1991","088",0,890,1156,1347,1936,2969,-1,2539
"11235",1,"LT5","1991","088",0,907,1192,1475,2125,3121,-1,2729
"11236",1,"LT5","1991","088",0,959,1265,1539,2200,3172,-1,2767
"11237",16,"LT5","1991","088",0,873,1156,1411,1936,2969,-1,2576
"11238",11,"LT5","1991","088",0,907,1192,1474,1974,3171,-1,2881
"11239",10,"LT5","1991","088",0,941,1119,1411,1899,3096,-1,2728
"11240",14,"LT5","1991","088",0,941,1265,1602,2125,3147,-1,2805
"11241",13,"LT5","1991","088",0,925,1228,1474,2050,3096,-1,2767
"11242",15,"LT5","1991","088",0,976,1265,1602,2200,3121,-1,2842
"11243",15,"LT5","1991","088",0,941,1265,1539,2163,3096,-1,2767
"11244",20,"LT5","1991","088",0,907,1192,1443,1974,3070,-1,2690
"11245",23,"LT5","1991","088",0,925,1228,1474,2049,2969,-1,2690
"11246",22,"LT5","1991","088",0,925,1192,1443,1974,2995,-1,2653
"11247",21,"LT5","1991","088",0,925,1192,1380,1823,3019,-1,2614
"11248",21,"LT5","1991","088",0,925,1192,1411,1861,3019,-1,2653
"11249",17,"LT5","1991","088",0,942,1228,1474,1974,3147,-1,2728
"11250",18,"LT5","1991","088",0,942,1301,1633,2163,3196,-1,2842
"11251",19,"LT5","1991","088",0,941,1301,1570,2163,3146,-1,2728
"11252",12,"LT5","1991","088",0,821,1156,1315,1974,3070,-1,2690
"11253",24,"LT5","1991","088",0,907,1228,1506,2163,3222,-1,2881
"11254",9,"LT5","1991","104",0,943,1212,1443,2098,2998,-1,2806
"11255",9,"LT5","1991","104",0,975,1344,1618,2306,3207,-1,2947
"11256",8,"LT5","1991","104",0,928,1212,1414,2098,3044,-1,2736
"11257",8,"LT5","1991","104",0,991,1311,1531,2271,3091,-1,2912
"11258",6,"LT5","1991","104",0,991,1344,1648,2340,3207,-1,2983
"11259",5,"LT5","1991","104",0,960,1311,1590,2237,3091,-1,2806
"11260",5,"LT5","1991","104",0,975,1311,1560,2237,3184,-1,2912
"11261",5,"LT5","1991","104",0,975,1344,1618,2271,3137,-1,2912
"11262",4,"LT5","1991","104",0,991,1311,1618,2340,3231,-1,2983
"11263",3,"LT5","1991","104",0,991,1311,1560,2202,3068,-1,2736
"11264",3,"LT5","1991","104",0,928,1212,1414,2029,2928,-1,2630
"11265",7,"LT5","1991","104",0,960,1278,1560,2375,3068,-1,2736
"11266",7,"LT5","1991","104",0,912,1278,1560,2375,2998,-1,2630
"11267",2,"LT5","1991","104",0,897,1212,1443,2098,3021,-1,2701
"11268",1,"LT5","1991","104",0,943,1245,1531,2271,3114,-1,2877
"11269",1,"LT5","1991","104",0,991,1311,1618,2340,3231,-1,2912
"11270",16,"LT5","1991","104",0,943,1212,1443,2167,3044,-1,2736
"11271",11,"LT5","1991","104",0,960,1245,1531,2237,3184,-1,2947
"11272",10,"LT5","1991","104",0,960,1245,1501,2133,3114,-1,2842
"11273",14,"LT5","1991","104",0,1023,1410,1677,2340,3207,-1,2947
"11274",13,"LT5","1991","104",0,975,1278,1590,2271,3161,-1,2877
"11275",15,"LT5","1991","104",0,991,1442,1765,2444,3254,-1,2947
"11276",15,"LT5","1991","104",0,991,1376,1706,2444,3184,-1,2912
"11277",20,"LT5","1991","104",0,943,1245,1531,2167,3161,-1,2877
"11278",23,"LT5","1991","104",0,928,1244,1531,2271,3067,-1,2771
"11279",22,"LT5","1991","104",0,960,1278,1531,2202,3067,-1,2842
"11280",21,"LT5","1991","104",0,928,1212,1501,2029,3091,-1,2771
"11281",21,"LT5","1991","104",0,928,1245,1501,2063,3091,-1,2842
"11282",17,"LT5","1991","104",0,1006,1344,1648,2271,3184,-1,2947
"11283",18,"LT5","1991","104",0,1022,1442,1793,2410,3277,-1,3018
"11284",19,"LT5","1991","104",0,959,1344,1618,2340,3161,-1,2877
"11285",12,"LT5","1991","104",0,912,1178,1473,2167,3044,-1,2736
"11286",24,"LT5","1991","104",0,991,1376,1706,2444,3184,-1,3018
"11287",9,"LT5","1991","120",0,792,1047,1262,1829,2679,-1,2368
"11288",9,"LT5","1991","120",0,882,1173,1430,2030,2882,-1,2606
"11289",8,"LT5","1991","120",0,822,1110,1346,1896,2724,-1,2402
